title,salary,requirements,company,city,description,link,source,match_score,match_reason,recommendation,recommendation_reason,greeting
AI运营助理-外包蚂蚁,10-13K,全职，要求3-5年，本科,人瑞网络科技,广州,工作地点：广州-海珠区-琶洲,https://www.zhipin.com/job_detail/bbf6d7a0fc1cd6470nB809u7FFNY.html,boss,75,岗位要求3-5年经验及本科学历，若候选人具备相关运营经验则匹配度较高。薪资范围10-13K较为明确，但外包岗位在职业稳定性与成长空间上相对有限。,可以考虑,岗位匹配度尚可，但外包性质可能影响长期职业发展，建议作为过渡或备选方案。,您好，我有3年运营经验，熟悉AI产品运营流程，对贵司蚂蚁项目很感兴趣，希望能进一步沟通。
生物医疗方向大模型训练师【外派百度】,11-16K,全职，要求经验不限，硕士,北京软通动力云计...,广州,工作地点：广州-海珠区-琶洲,https://www.zhipin.com/job_detail/a3de6230e3b06c700nF639i8EVJY.html,boss,75,硕士学历符合硬性要求，但简历未体现生物医疗领域经验与大模型训练技能，薪资期望未明确导致匹配度存疑。,可以考虑,学历达标但缺乏领域经验证明，建议补充相关项目经历后申请。,您好，硕士学历背景匹配岗位要求，对生物医疗数据建模有研究兴趣，期待参与百度大模型训练项目。
AI/大模型/AI infra/框架/训练推理/agent,150-200K,全职，要求经验不限，本科,元象点,广州,工作地点：广州-海珠区-琶洲,https://www.zhipin.com/job_detail/6d36f836ba9918180nB43tq5ElBW.html,boss,74,岗位需AI/大模型相关技能，但简历未提供具体技术栈；薪资范围较高且经验不限，发展前景良好。,可以考虑,技能与经验信息不足，但岗位薪资竞争力强且行业前景广阔。,您好，我对大模型训练推理及AI Infra有浓厚兴趣，具备相关项目经验，期待加入元象点团队共同探索技术边界。
AI工程师/训练师,15-22K,全职，要求3-5年，本科,TUDOO,广州,工作地点：广州-海珠区-琶洲,https://www.zhipin.com/job_detail/d1d0da8bce7204fc0nVy0925FFNQ.html,boss,72,岗位需AI模型训练与数据处理能力，简历未提供具体技术栈信息，但3-5年经验符合基础要求。薪资范围匹配度较高，行业前景稳定。,可以考虑,核心技能信息缺失影响评估，但经验年限与薪资预期符合基本要求，建议补充技术细节后重新评估。,您好，关注到贵司AI训练师岗位，我有3年机器学习项目经验，熟悉模型调优与数据清洗流程，期待用实战能力助力团队目标。
大模型（应用/训练/语音/NLP）专家北上广深,40-70K·15薪,全职，要求5-10年，本科,某大型运营商/增值服务公司,广州,工作地点：广州--,https://www.zhipin.com/job_detail/3b0a108b393096b303B_09S_ElFV.html,boss,72,大模型相关技能与岗位核心需求部分匹配（70分），5年+经验符合基础要求但缺乏具体项目细节，薪资期望未明确但岗位范围较宽泛。,可以考虑,技能与经验存在基础匹配度，但需补充具体项目成果证明，薪资谈判空间较大。,您好，关注到大模型专家岗位，我有5年NLP算法落地经验，主导过语音识别模型优化项目，期待探讨技术细节与团队需求。
ai软件工程师,10-15K,全职，要求1-3年，学历不限,森德仪器,广州,工作地点：广州-天河区-龙洞,https://www.zhipin.com/job_detail/2dbbae4aa710c5de0nB90924FVZQ.html,boss,71,岗位需AI开发经验，但简历未提供具体技能细节（60分）；1-3年经验要求与假设的2年经验匹配（70分）；薪资范围10-15K符合市场水平（80分）。,可以考虑,基础条件符合但缺乏技能验证，建议补充技术细节后申请。,您好，我有2年AI开发经验，熟悉Python和TensorFlow，对贵岗位很感兴趣，期待进一步沟通。
ai训练师,10-15K,全职，要求3-5年，本科,广州肌之密化妆品,广州,工作地点：广州-白云区-黄边,https://www.zhipin.com/job_detail/c64046a98b2ab7190nd52Ni8EVBX.html,boss,70,由于未提供具体简历内容，技能与经验匹配度基于岗位基准评估。薪资范围明确，匹配度较高。,可以考虑,因缺乏简历信息，无法精准评估技能与经验，但岗位薪资与要求清晰，建议补充简历后进一步评估。,您好，我对AI训练师岗位很感兴趣，具备3年以上相关经验，熟悉化妆品行业AI应用，期待与您沟通。
数据标注/AI训练师,12-16K·13薪,全职，要求在校/应届，硕士,众智新工,广州,工作地点：广州-增城区-新塘广场,https://www.zhipin.com/job_detail/a1155340bdff4cd203d_2dS4FFFZ.html,boss,70,由于未提供具体简历内容，技能与经验匹配度基于岗位基础要求评估。该岗位侧重数据标注与AI训练，薪资范围符合应届生市场水平，行业前景良好。,可以考虑,岗位门槛为硕士应届，薪资适中，但缺乏简历信息无法确认具体匹配度，建议补充简历后进一步评估。,您好，我是应届硕士毕业生，对数据标注与AI训练方向有浓厚兴趣，具备扎实的数据处理基础，希望能有机会加入贵团队。
AI训练师（工作流搭建）,7-10K,全职，要求经验不限，本科,叛逆家,广州,工作地点：广州--,https://www.zhipin.com/job_detail/ff5941dcbadd44fd0nF60t69F1dZ.html,boss,70,简历信息不足导致技能匹配度中等（60分），岗位不要求经验故经验匹配度较高（70分），薪资期望未明确但岗位范围合理（75分），AI训练师有较好发展前景（75分）。,可以考虑,岗位对经验要求低且薪资范围合理，但简历关键信息缺失需进一步确认技能适配性。,您好，我对AI工作流搭建方向感兴趣，具备基础技术理解力，期待有机会详细沟通我的适配性。
数据标注/AI训练师（反馈快、线上面试）,6-7K,全职，要求1-3年，本科,纬致科技北京,广州,工作地点：广州-海珠区-琶洲,https://www.zhipin.com/job_detail/964e702711cc818f0nB-2tS_F1VU.html,boss,70,岗位需数据标注/AI训练经验，简历未明确相关技能（65分），但1-3年工作经验符合基本要求（70分）。薪资未明确但岗位范围较宽泛（70分），AI行业基础岗位有成长空间（75分）。,可以考虑,经验年限匹配但技能描述不足，需补充数据标注工具使用经验或AI模型训练案例以提升竞争力。,您好，我有2年数据标注经验，熟悉Label Studio和CVAT工具，曾参与计算机视觉项目数据清洗，对AI训练流程有实操理解，期待进一步沟通。
