title,salary,requirements,company,city,description,link,source,match_score,match_reason,recommendation,recommendation_reason,greeting
ai训练师,9-14K,全职，要求1-3年，大专,花瓣故事,广州,工作地点：广州-白云区-嘉禾,https://www.zhipin.com/job_detail/a00c3ec64a8b1bdf03N70t6-ElVU.html,boss,90,您的大模型部署、微调及计算机视觉技能与AI训练师岗位高度匹配（95分），且拥有相关竞赛获奖及项目经验，经验相关性极强。,强烈推荐,技能与证书高度对口，项目经历丰富，完全符合岗位核心要求，建议优先投递。,您好，我对AI训练师岗位非常感兴趣。我有大模型部署微调及CV项目经验，获过人工智能大赛一等奖，期待能与您进一步沟通。
ai训练师,5-8K·13薪,全职，要求1-3年，大专,N1-DESIGN,广州,工作地点：广州-海珠区-江燕路,https://www.zhipin.com/job_detail/b7f250d4025745f81HJz39u1EVFY.html,boss,88,候选人持有AI训练师三级证书，且具备大模型微调与计算机视觉项目实战经验，技能与岗位高度契合。项目经历涵盖数据处理、模型部署及巡检系统开发，完全覆盖岗位核心职责。,强烈推荐,技能证书与项目经验双重加持，完全覆盖岗位核心需求，且薪资预期合理，建议优先投递。,您好，我持有AI训练师三级证书，具备大模型微调与CV项目实战经验，熟悉数据处理全流程，非常契合贵司AI训练师岗位，期待进一步沟通。
人工智能后备研发工程师,5-10K,全职，要求经验不限，本科,汇豪科技,广州,工作地点：广州-白云区-太和,https://www.zhipin.com/job_detail/8a85b2787d07dbac0nd52d67F1BX.html,boss,88,您的技能栈（Python、大模型微调、计算机视觉）与人工智能研发岗位高度契合，且拥有多个落地项目经验（如人脸识别、智能巡检），技术实力突出。虽然学历为大专（岗位要求本科），但省级竞赛一等奖和实际项目成果有效弥补了学历短板。,建议投递,技术匹配度极高，项目经验远超一般应届生，虽然学历有门槛，但技术实力足以胜任，值得争取面试机会。,您好，我对人工智能研发岗位很感兴趣。我有全国人工智能大赛省一等奖经验，熟悉大模型微调与计算机视觉，期待能有机会加入汇豪科技。
AI智能体应用工程师（电商/办公自动化方向,8-12K,全职，要求经验不限，大专,广州游享科技有限公司,广州,工作地点：广州-白云区-石井,https://www.zhipin.com/job_detail/5138d749b5a2725e0nd529i5FlVQ.html,boss,88,候选人具备 Python、大模型部署及计算机视觉等核心技能，与 AI 智能体岗位高度契合。项目经验涵盖办公自动化与电商小程序，直接对应岗位业务场景。,强烈推荐,技能栈与岗位需求高度重合，且拥有 AI 落地项目经验，薪资期望在合理范围内，是极具竞争力的候选人。,您好，我对 AI 智能体应用岗位非常感兴趣。我有 Python 及大模型部署经验，曾开发过商务管理系统与电商小程序，期待能与您进一步沟通。
电商ai客服训练师,6-8K,全职，要求1-3年，大专,欧科网络通信,广州,工作地点：广州-白云区-嘉禾,https://www.zhipin.com/job_detail/6a0f7104f33af0d20nF72tq0F1JR.html,boss,87,候选人持有AI训练师证书且有大模型微调经验，技能高度对口；电商小程序开发经历使其理解业务场景；薪资要求与岗位预算完全吻合。,强烈推荐,候选人具备AI训练师证书及大模型微调经验，且有电商小程序开发背景，完美契合“电商AI客服训练师”的岗位画像。,您好，我有AI训练师证书及大模型微调经验，并开发过电商小程序，熟悉客服业务逻辑，期待能为您团队赋能。
AI智能体训练师技术开发合伙人,20-40K,全职，要求经验不限，学历不限,广州青创网络技术开发,广州,工作地点：广州-白云区-嘉禾,https://www.zhipin.com/job_detail/2d4dacbfebafd0860nB-29u-EFRY.html,boss,86,候选人具备大模型部署、微调及计算机视觉等核心技能，且有大模型相关项目落地经验，与岗位高度契合。丰富的竞赛获奖及软著证明其技术实力，虽学历为大专，但技术栈与AI智能体训练师需求高度一致。,强烈推荐,技术栈与岗位需求高度重合，具备大模型实战经验，且岗位对学历和经验限制较少，是极佳的切入点。,您好，我对AI智能体开发非常感兴趣。我有大模型部署微调及计算机视觉实战经验，曾获人工智能大赛一等奖，期待与您探讨技术落地。
大模型训练师,10-15K,全职，要求经验不限，硕士,艺兔科技,广州,工作地点：广州--,https://www.zhipin.com/job_detail/a2979cadc26d3fff0ndz39u1EVZR.html,boss,85,候选人具备大模型微调、部署及计算机视觉实战经验，与岗位核心技能高度契合；项目经历丰富，涵盖大模型应用落地，经验相关性高。,可以考虑,技能与项目经验高度匹配，但学历（大专）低于岗位要求（硕士），存在硬性门槛风险，建议作为备选尝试投递。,您好，我有大模型微调与部署实战经验，曾基于千问模型开发巡检系统，获人工智能大赛省一等奖，对贵司大模型训练师岗位非常感兴趣，期待沟通。
AI 训练师,120-160元/天,全职，要求，本科,广东深度视觉人工...,广州,工作地点：广州--,https://www.zhipin.com/job_detail/ee0bf4e187d260930nZ63dW_ElpT.html,boss,85,候选人具备扎实的AI相关技能（大模型微调、CV、YOLO训练），与AI训练师岗位高度匹配。项目经验（人脸识别、巡检系统）直接对应岗位核心职责。,建议投递,技能与项目经验高度契合，薪资在合理范围内，但学历为大专（岗位要求本科），建议重点突出项目成果以弥补学历差距。,您好，我有多个AI项目实战经验，包括大模型微调、YOLO训练及人脸识别系统，与贵司AI训练师岗位高度匹配，期待进一步沟通。
AI训练师实习生【实习4个月及以上】,80-130元/天,全职，要求，本科,励丰文化科技,广州,工作地点：广州-黄埔区-科学城,https://www.zhipin.com/job_detail/e72ab10c755fa0210nB43dq9F1RZ.html,boss,85,您的Python、大模型部署及计算机视觉技能与AI训练师岗位高度匹配（90分），且拥有相关竞赛获奖及项目经验。但岗位明确要求本科学历，您为大专学历，存在硬性门槛风险。,可以考虑,技能与项目经验高度对口，但学历未达岗位硬性要求，建议尝试投递并突出技术优势。,您好，我对AI训练师岗位非常感兴趣。我有大模型微调、CV项目经验及人工智能训练师证书，虽为大专学历，但技术实战能力强，期待能有机会沟通。
数据标注/AI训练师,4-5K,全职，要求在校/应届，本科,广州市艺彩职业技...,广州,工作地点：广州-番禺区-市桥,https://www.zhipin.com/job_detail/159ac5fb2ca1427b0nd73d6-FldZ.html,boss,85,候选人持有‘人工智能训练师三级证书’，且具备大模型微调、计算机视觉训练及数据处理等实战经验，与岗位核心需求高度契合。虽然学历为大专（岗位要求本科），但丰富的项目经验和全国AI大赛一等奖证明了极强的实操能力，可弥补学历短板。,建议投递,技能匹配度极高，项目经验远超岗位基础要求，尽管学历存在门槛，但实战能力可弥补，建议争取面试机会。,您好，我持有‘人工智能训练师三级证书’，有全国AI大赛一等奖及大模型微调实战经验，技能与岗位高度匹配，期待能有机会面试交流。
