title,salary,requirements,company,city,description,link,source,match_score,match_reason,recommendation,recommendation_reason,greeting
Python,100-150元/天,全职，要求，本科,Hollyglobe,广州,工作地点：广州-海珠区-琶洲,https://www.zhipin.com/job_detail/54d2dc4972a453ea0nBy3t-0F1VX.html,boss,83,候选人精通Python及AI相关技术，项目经验与岗位高度契合，但学历为大专，与岗位要求的本科存在硬性差距。,可以考虑,技能匹配度高且具备AI实战经验，但学历不达标，建议作为备选尝试投递，需确认学历是否可放宽。,您好，我精通Python及大模型部署，有计算机视觉和机器人项目经验，曾获人工智能大赛一等奖，对贵司Python岗位非常感兴趣，期待沟通。
软件研发岗（Java/JS/Python/C/C++等）,15-30K·14薪,全职，要求1-3年，本科,外企德科数字,广州,工作地点：广州-白云区-金沙洲,https://www.zhipin.com/job_detail/e2d13c99b76e55c40nd93Nu9E1ZW.html,boss,80,您的 Java、Python、JS 技能与岗位高度匹配（90分），项目经验扎实且涉及大模型与计算机视觉，但学历为大专且工作年限略低于1-3年要求（65分）。,可以考虑,技能匹配度高，但学历和经验年限略低于硬性要求，建议作为备选尝试投递。,您好，我有扎实的 Java/Python 开发经验，熟悉大模型部署与计算机视觉项目，曾获人工智能大赛一等奖，对贵司研发岗很感兴趣，期待沟通。
AI工程师（精通python和Java）,10-15K,全职，要求1-3年，本科,广州秒搭人工智能科技,广州,工作地点：广州-天河区-科学城,https://www.zhipin.com/job_detail/9f6f2c8106b36d290nBy2d-5GVpX.html,boss,78,您的 Python 和 Java 技能与岗位高度匹配（85分），且具备大模型部署、YOLO 训练等 AI 项目经验。但学历为大专，与岗位要求的本科存在差距，且缺乏企业级实战经验，经验相关性得分 70。,可以考虑,技能栈与岗位需求高度吻合，且有竞赛获奖和项目落地经验，但学历未达硬性要求，建议作为备选尝试投递。,您好，我有扎实的 Python/Java 开发能力，主导过人脸识别及大模型巡检项目，获省赛一等奖，对贵司 AI 岗位非常感兴趣，期待沟通。
Python后端开发工程师,8-13K,全职，要求1-3年，本科,广州绿字阳信息技...,广州,工作地点：广州-天河区-体育中心,https://www.zhipin.com/job_detail/fd2ee2cbfe361e8f1X143d26EVVU.html,boss,75,您的 Python 技能与岗位高度匹配，且具备 AI 与全栈开发能力，但学历为大专且缺乏明确的全职工作年限，与岗位要求的本科及 1-3 年经验存在一定差距。,建议投递,技能栈与岗位高度契合，项目经验扎实，虽然学历和经验年限略有不足，但具备较强的学习能力和 AI 背景，值得尝试申请。,您好，我有扎实的 Python 开发基础，熟悉后端接口与数据库设计，并拥有多个 AI 与全栈项目落地经验，希望能有机会加入贵司。
python,10-15K,全职，要求1-3年，本科,广连软件,广州,工作地点：广州-天河区-车陂,https://www.zhipin.com/job_detail/2d979e06cc04c55f0nZ42d27E1ZY.html,boss,75,候选人掌握 Python 及 AI 相关技能，与岗位高度匹配（85分），但学历为大专且工作年限可能不足1年，与岗位要求的本科及1-3年经验存在差距（60分）。,建议投递,技能匹配度高，且有相关竞赛获奖和项目经验，建议尝试投递，但需做好学历和经验门槛的沟通准备。,您好，我精通 Python 开发，有计算机视觉与大模型微调实战经验，曾获人工智能大赛一等奖，期待能有机会加入广连软件。
Python,7-12K,全职，要求1-3年，本科,新略信息,广州,工作地点：广州-天河区-天河北,https://www.zhipin.com/job_detail/2bc0669b697a5deb0nF62t25ElNR.html,boss,75,您的 Python 及 AI 相关技能（如大模型微调、OpenCV）与岗位高度匹配，但学历为大专且缺乏明确的全职工作年限，与岗位要求的本科及1-3年经验存在一定差距。,可以考虑,技术栈契合度高，但学历和经验年限未完全达标，建议作为备选投递，重点突出项目实战能力。,您好，我对贵司 Python 岗位很感兴趣。我有扎实的 Python 开发及 AI 项目落地经验（如人脸识别、大模型部署），虽学历为大专，但技术实战能力强，期待能有机会沟通。
Python,15-30K·14薪,全职，要求经验不限，本科,华为云计算,广州,工作地点：广州-白云区-金沙洲,https://www.zhipin.com/job_detail/17248b96e5656c0003d72du6FlBZ.html,boss,75,候选人掌握 Python 及 AI 相关技能，与岗位高度匹配（85分），但学历为大专，与岗位要求的本科存在硬性差距，影响经验相关性评分。,建议投递,技能匹配度高，项目经验丰富，但学历未达硬性要求，建议尝试投递并突出技术优势。,您好，我有扎实的 Python 开发及 AI 落地经验，曾获人工智能大赛一等奖，虽学历为大专，但技术实力过硬，期待能有机会沟通。
python全栈工程师,10-15K,全职，要求3-5年，大专,睿烨科技,广州,工作地点：广州-番禺区-石基,https://www.zhipin.com/job_detail/01799dff81ceb0aa03J_2tq6EVRV.html,boss,70,您的 Python 及全栈开发技能与岗位高度匹配（80分），项目经验涵盖 AI 与系统开发，但工作年限（应届/初级）与岗位要求的 3-5 年存在差距（60分）。,可以考虑,技术栈契合度高且具备 AI 落地能力，但工作年限未达硬性要求，建议作为备选或争取初级岗机会。,您好，我有扎实的 Python 全栈开发经验，熟悉大模型部署与 CV 应用，GitHub 有多个落地项目，希望能争取面试机会。
python量化交易程序员,6-8K,全职，要求1年以内，本科,广州龙智,广州,工作地点：广州-荔湾区-陈家祠,https://www.zhipin.com/job_detail/c9a2a8f1668cbaaf03N62dW9F1pZ.html,boss,70,候选人掌握Python及AI相关技能，与岗位技术栈部分匹配（70分），但缺乏量化交易领域经验。薪资期望未明确，但岗位6-8K符合初级开发者水平（80分）。,可以考虑,技能基础扎实且有竞赛获奖，但学历为大专（岗位要求本科）且缺乏量化交易经验，建议作为备选投递。,您好，我有扎实的Python开发及AI项目经验，曾获人工智能大赛一等奖，对量化交易领域充满热情，希望能有机会进一步沟通。
Python开发工程师,11-20K,全职，要求3-5年，大专,海颐软件,广州,工作地点：广州--,https://www.zhipin.com/job_detail/34d23df5b7a5794b0nBy2d66E1RT.html,boss,67,您的 Python 技能与岗位高度匹配（85分），具备大模型部署、计算机视觉等前沿技术经验。但岗位要求 3-5 年经验，您目前主要为项目/竞赛经历，工作经验相关性较低（40分）。,可以考虑,技能栈与岗位高度契合，但工作年限未达硬性要求，建议作为备选或争取实习/初级岗位机会。,您好，我有扎实的 Python 开发基础，熟悉大模型微调与 OpenCV，曾获人工智能大赛一等奖，对贵司岗位很感兴趣，期待进一步沟通。
