title,salary,requirements,company,city,description,link,source,match_score,match_reason,recommendation,recommendation_reason
Python（大厂 六险一金）,15-30K,全职，要求经验不限，学历不限,深圳某大型ICT基础设施与智能终端公司,上海,工作地点：上海--,https://www.zhipin.com/job_detail/cdcbf2cb465a640b0nB_0929FVFS.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
Python 开发工程师（AI 工业应用方向）,10-13K,全职，要求1-3年，大专,长弓建辉,上海,工作地点：上海-嘉定区-黄渡,https://www.zhipin.com/job_detail/cef891cd6ab948fe0nBy2Nu1EFZW.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
Python实习生,150-200元/天,全职，要求，大专,彗零信息,上海,工作地点：上海-浦东新区-金桥,https://www.zhipin.com/job_detail/a92dfcafa1176a760nd-3tS0EFc~.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
Python/AI实习生,400-500元/天,全职，要求，本科,华为,上海,工作地点：上海-青浦区-金泽,https://www.zhipin.com/job_detail/6b756e2d52e20aa80nB609m8GVFS.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
Python 开发实习生,300-600元/天,全职，要求，本科,光轮智能,上海,工作地点：上海-嘉定区-安亭,https://www.zhipin.com/job_detail/92dae660340011211HB-2tW7ElFZ.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
Python实习生,200-250元/天,全职，要求，本科,壹沓科技,上海,工作地点：上海-静安区-大宁,https://www.zhipin.com/job_detail/bcaa4b5eeed5dd3f0nBy3969EFZU.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
Python（WLB+待遇好+base多地）,50-80K,全职，要求经验不限，本科,某500强上市公司,上海,工作地点：上海--,https://www.zhipin.com/job_detail/86b5142c5455dbca0nd73tu5FltS.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
python,15-30K·14薪,全职，要求经验不限，本科,上海万宝盛华信息科技,上海,工作地点：上海-浦东新区-金桥,https://www.zhipin.com/job_detail/9af9cd76ee321f060nB_3Nm9FFJR.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
Python（六险一金 双休）,13-25K·14薪,全职，要求经验不限，本科,广育鑫澄,上海,工作地点：上海-青浦区-金泽,https://www.zhipin.com/job_detail/e4c839c8ae1153c60nZ53di8ElpW.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
Python软件工程师,15-25K,全职，要求1-3年，本科,杭州某大型互联网电商与云计算上市公司,上海,工作地点：上海--,https://www.zhipin.com/job_detail/6be6994c0fe568520nB50tS-F1BU.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
