title,salary,requirements,company,city,description,link,source,match_score,match_reason,recommendation,recommendation_reason,greeting
人工智能训练师推广大使,100-120元/时,全职，要求经验不限，中专/中技,广州象九数字传媒,广州,工作地点：广州-花都区-花山,https://www.zhipin.com/job_detail/485b3af0daa3ec610nZ829S4ElVZ.html,boss,88,候选人持有‘人工智能训练师三级证书’，且具备大模型部署、微调及计算机视觉项目经验，技术背景高度契合岗位核心需求。薪资时薪100-120元对应届生极具吸引力，学历符合门槛要求。,强烈推荐,候选人拥有AI训练师证书及丰富的模型微调/部署项目经验，技术背景远超岗位基本要求，且薪资期望合理，属于高潜人才。,您好，我持有AI训练师三级证书，有千问大模型部署及CV项目实战经验，技术背景与贵司岗位高度契合，期待进一步沟通。
AI训练师（工作流搭建）,7-10K,全职，要求1年以内，本科,叛逆家,广州,工作地点：广州-海珠区-南洲,https://www.zhipin.com/job_detail/001de21e4c1a53d50nF63dq8FVtR.html,boss,85,候选人持有AI训练师三级证书，且项目经验（如机器人巡检、大模型微调）与岗位需求高度契合，技能匹配度极高。,建议投递,候选人具备AI训练师证书及丰富的大模型/视觉项目经验，技能匹配度高，虽学历为大专但实操能力强，值得争取。,您好，我持有AI训练师三级证书，有机器人巡检和大模型微调项目经验，熟悉工作流搭建，期待加入叛逆家。
/AI训练师（英语专八/无标注评测经验也可）,6-8K,全职，要求经验不限，本科,上海勤穆网络科技,广州,工作地点：广州-天河区-龙洞,https://www.zhipin.com/job_detail/355ca52453bb95d90nBz09i-FlNY.html,boss,83,候选人持有AI训练师三级证书，且具备大模型微调、计算机视觉等丰富项目经验，技能高度匹配；虽学历为大专（岗位要求本科），但实战能力突出，可弥补学历短板。,建议投递,技能匹配度极高，拥有相关证书及大模型项目经验，虽学历略有差距，但岗位经验不限，值得尝试申请。,您好，我持有AI训练师三级证书，有千问大模型微调及CV项目实战经验，技能与岗位高度契合，期待有机会沟通。
视频标注模型训练师（影视、音频方向）,160-170元/天,全职，要求，大专,广西华胜网络科技,广州,工作地点：广州-黄埔区-科学城,https://www.zhipin.com/job_detail/05d34ed9e2ed7d480nd509q6GVBV.html,boss,80,候选人拥有人工智能训练师证书及计算机视觉项目经验，与岗位核心需求高度契合。虽然简历偏向开发，但底层数据处理与模型理解能力可迁移至标注与训练工作。,建议投递,技能匹配度高，具备AI相关证书和项目经验，薪资在合理范围内，适合作为AI行业入行切入点。,您好，我持有AI训练师证书，有计算机视觉与大模型微调项目经验，对视频标注与模型训练工作非常感兴趣，期待进一步沟通。
ai训练师,4-8K,全职，要求经验不限，本科,蚁团传媒,广州,工作地点：广州-白云区-永泰,https://www.zhipin.com/job_detail/0b2f1701e89892b10nB_0t66F1tX.html,boss,80,候选人具备大模型部署微调及计算机视觉实战经验，技能栈高度契合AI训练师需求。虽学历为大专且缺乏正式工作经验，但项目成果丰富且获奖，具备极强的学习能力和落地潜力。,建议投递,技能匹配度高，薪资在期望范围内，建议投递。,您好，我对AI训练师岗位很感兴趣。我有大模型微调、CV检测及多项目落地经验，曾获人工智能大赛一等奖，期待能加入蚁团传媒。
ai训练师（GEO方向）,7-10K,全职，要求1-3年，大专,莲藕健康,广州,工作地点：广州--,https://www.zhipin.com/job_detail/e2efe60b9d9748fb0nBz0t6-F1pQ.html,boss,80,候选人持有AI训练师三级证书，且有大模型微调与部署的实战经验，技能与岗位高度契合。虽然工作年限较短，但计算机视觉与多模态项目背景扎实，具备快速上手能力。,建议投递,技能匹配度高，薪资在期望范围内，且具备相关证书背书，建议积极申请。,您好，我持有AI训练师三级证书，有千问大模型微调及CV项目经验，对GEO方向非常感兴趣，期待能有机会与您沟通。
AI美学数据训练师,130-140元/天,全职，要求，大专,广州数联未来网络科技,广州,工作地点：广州-黄埔区-大沙,https://www.zhipin.com/job_detail/78b10b66876c7a990nF63Ny-GVVS.html,boss,78,候选人持有AI训练师证书且有大模型微调及计算机视觉项目经验，技术背景与岗位高度契合。薪资符合预期，学历达标，但岗位侧重美学评估，需补充相关审美能力证明。,建议投递,具备AI训练师证书及大模型微调经验，技术背景与岗位需求高度契合，且薪资符合预期。,您好，我持有AI训练师三级证书，有YOLO及大模型微调实战经验，对AI数据质量把控有深刻理解，希望能有机会加入贵司。
AI美学鉴赏,4-5K,全职，要求经验不限，大专,广州玉团网络科技,广州,工作地点：广州-黄埔区-大沙,https://www.zhipin.com/job_detail/664ec5da013f2ca80nF63N26GVVR.html,boss,65,候选人具备扎实的AI与全栈开发技能，但岗位侧重美学鉴赏与评估，技术栈匹配度一般。薪资范围符合应届生预期，但岗位经验要求不限，职业成长空间相对有限。,可以考虑,虽然技术背景与岗位核心需求存在一定错位，但薪资门槛低且无经验限制，适合作为AI行业入门的过渡选择。,您好，我对AI美学鉴赏岗位很感兴趣。我有计算机视觉与大模型部署经验，熟悉AIGC技术，希望能结合审美能力为团队创造价值。
数据标注/AI训练师,2-3K,全职，要求在校/应届，学历不限,广州振轩智能科技,广州,工作地点：广州-黄埔区-大沙,https://www.zhipin.com/job_detail/b0f0f31a931287600nF63ti7FFJW.html,boss,65,候选人持有AI训练师证书且有丰富AI项目经验，技能高度匹配（85分），但岗位薪资2-3K远低于市场水平，薪资匹配度极低（20分）。,可以考虑,技能完全覆盖岗位需求，但薪资过低且岗位层级低于候选人能力，仅适合作为短期过渡或实习。,您好，我是蒋睿，持有AI训练师三级证书，有丰富的大模型和CV项目经验。虽然岗位薪资较低，但我对AI训练工作非常感兴趣，希望能有机会沟通。
AI训练（葡萄牙语）,6-10K,全职，要求经验不限，本科,虎跃数据,广州,工作地点：广州-天河区-龙洞,https://www.zhipin.com/job_detail/a2719734371baec30nF62tq9F1RR.html,boss,65,候选人具备 Python 和 AI 项目经验，但岗位核心要求葡萄牙语能力未在简历中体现，且学历为大专（岗位要求本科），存在硬性门槛差距。,可以考虑,虽然候选人有 AI 相关项目经验，但缺乏葡萄牙语技能且学历不符，建议作为备选尝试，需确认语言要求是否可放宽。,您好，我对 AI 训练岗位很感兴趣。我有 Python 和计算机视觉项目经验，曾参与大模型部署，希望能进一步沟通岗位对语言能力的具体要求。
